,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,40%,20%,20%,0%,0%,40%
agree,20%,40%,60%,40%,0%,40%
neutral,40%,40%,0%,60%,40%,20%
disagree,0%,0%,20%,0%,60%,0%
strongly_disagree,0%,0%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,5.,5.,5.,5.,5.,5.
