,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,43.75%,43.75%,44.44%,41.27%,40.62%,35.94%
agree,32.81%,26.56%,23.81%,28.57%,32.81%,21.88%
neutral,17.19%,15.62%,20.63%,20.63%,18.75%,26.56%
disagree,3.12%,9.38%,4.76%,6.35%,3.12%,9.38%
strongly_disagree,3.12%,4.69%,3.17%,3.17%,4.69%,6.25%
na,0%,0%,3.17%,0%,0%,0%
responses,64.,64.,63.,63.,64.,64.
