,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,70%,58.62%,51.61%,50%,58.06%,64.52%
agree,16.67%,31.03%,29.03%,36.67%,29.03%,22.58%
neutral,10%,10.34%,16.13%,13.33%,6.45%,9.68%
disagree,3.33%,0%,0%,0%,3.23%,0%
strongly_disagree,0%,0%,0%,0%,3.23%,3.23%
na,0%,0%,3.23%,0%,0%,0%
responses,30.,29.,31.,30.,31.,31.
