,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,15.38%,8.33%,33.33%,8.33%,8.33%,8.33%
agree,38.46%,33.33%,25%,33.33%,41.67%,50%
neutral,30.77%,50%,16.67%,16.67%,33.33%,16.67%
disagree,7.69%,0%,8.33%,25%,0%,8.33%
strongly_disagree,7.69%,8.33%,8.33%,16.67%,16.67%,16.67%
na,0%,0%,8.33%,0%,0%,0%
responses,13.,12.,12.,12.,12.,12.
