,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,50%,60%,50%,50%,30%,60%
agree,40%,30%,20%,40%,50%,20%
neutral,10%,0%,20%,10%,20%,10%
disagree,0%,10%,10%,0%,0%,10%
strongly_disagree,0%,0%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,10.,10.,10.,10.,10.,10.
