,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,16.85%,23.37%,28.01%,21.63%,26.61%,17.55%
agree,28.93%,37.57%,33.61%,46.07%,43.7%,28.41%
neutral,30.62%,27.22%,26.33%,21.63%,20.45%,30.36%
disagree,15.73%,7.99%,5.6%,8.43%,6.72%,14.48%
strongly_disagree,6.46%,3.25%,2.52%,2.25%,2.52%,8.64%
na,1.4%,0.59%,3.92%,0%,0%,0.56%
responses,356.,338.,357.,356.,357.,359.
