,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,62.07%,39.29%,46.43%,46.43%,50%,32.14%
agree,31.03%,28.57%,39.29%,42.86%,32.14%,28.57%
neutral,6.9%,28.57%,14.29%,7.14%,14.29%,17.86%
disagree,0%,3.57%,0%,3.57%,3.57%,14.29%
strongly_disagree,0%,0%,0%,0%,0%,7.14%
na,0%,0%,0%,0%,0%,0%
responses,29.,28.,28.,28.,28.,28.
