,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,38.1%,47.62%,38.1%,47.62%,42.86%,52.38%
agree,33.33%,28.57%,23.81%,28.57%,23.81%,33.33%
neutral,9.52%,9.52%,9.52%,14.29%,23.81%,4.76%
disagree,0%,0%,4.76%,0%,0%,0%
strongly_disagree,4.76%,4.76%,4.76%,0%,0%,0%
na,14.29%,9.52%,19.05%,9.52%,9.52%,9.52%
responses,21.,21.,21.,21.,21.,21.
