,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,72.55%,74.34%,64.05%,63.4%,74.51%,75%
agree,24.18%,21.71%,28.1%,30.07%,20.26%,20.39%
neutral,1.96%,2.63%,6.54%,3.92%,5.23%,3.29%
disagree,1.31%,1.32%,0.65%,1.96%,0%,1.32%
strongly_disagree,0%,0%,0%,0.65%,0%,0%
na,0%,0%,0.65%,0%,0%,0%
responses,153.,152.,153.,153.,153.,152.
