,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,48.25%,43.86%,44.64%,42.98%,42.48%,42.98%
agree,34.21%,32.46%,39.29%,34.21%,33.63%,33.33%
neutral,15.79%,15.79%,13.39%,18.42%,16.81%,15.79%
disagree,0.88%,7.02%,1.79%,1.75%,5.31%,6.14%
strongly_disagree,0.88%,0.88%,0.89%,2.63%,1.77%,1.75%
na,0%,0%,0%,0%,0%,0%
responses,114.,114.,112.,114.,113.,114.
