,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,50%,38%,58%,46%,46%,38%
agree,36%,38%,30%,40%,40%,36%
neutral,6%,14%,8%,8%,8%,16%
disagree,4%,4%,0%,2%,2%,2%
strongly_disagree,4%,6%,4%,4%,4%,8%
na,0%,0%,0%,0%,0%,0%
responses,50.,50.,50.,50.,50.,50.
