,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,18.92%,21.62%,35.14%,24.32%,16.22%,24.32%
agree,29.73%,21.62%,35.14%,27.03%,18.92%,40.54%
neutral,10.81%,13.51%,13.51%,24.32%,8.11%,16.22%
disagree,21.62%,21.62%,5.41%,10.81%,18.92%,8.11%
strongly_disagree,18.92%,21.62%,8.11%,13.51%,37.84%,10.81%
na,0%,0%,2.7%,0%,0%,0%
responses,37.,37.,37.,37.,37.,37.
