,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,24.93%,26.47%,24.26%,28.28%,30.26%,25.14%
agree,31.09%,35.29%,23.96%,39.94%,38.9%,27.46%
neutral,23.75%,17.94%,28.99%,17.2%,14.12%,29.19%
disagree,7.33%,10.59%,6.51%,9.04%,7.78%,9.25%
strongly_disagree,7.62%,9.12%,5.62%,4.96%,8.65%,8.38%
na,5.28%,0.59%,10.65%,0.58%,0.29%,0.58%
responses,341.,340.,338.,343.,347.,346.
