,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,76.47%,58.82%,64.71%,64.71%,62.5%,64.71%
agree,23.53%,35.29%,35.29%,29.41%,37.5%,23.53%
neutral,0%,5.88%,0%,5.88%,0%,11.76%
disagree,0%,0%,0%,0%,0%,0%
strongly_disagree,0%,0%,0%,0%,0%,0%
na,0%,0%,0%,0%,0%,0%
responses,17.,17.,17.,17.,16.,17.
