,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,51.56%,41.54%,39.06%,53.85%,49.23%,40%
agree,32.81%,32.31%,32.81%,33.85%,35.38%,38.46%
neutral,9.38%,20%,20.31%,12.31%,10.77%,15.38%
disagree,4.69%,0%,3.12%,0%,4.62%,3.08%
strongly_disagree,1.56%,6.15%,1.56%,0%,0%,3.08%
na,0%,0%,3.12%,0%,0%,0%
responses,64.,65.,64.,65.,65.,65.
