,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,65.22%,60.87%,56.52%,60.87%,65.22%,52.17%
agree,30.43%,13.04%,26.09%,30.43%,30.43%,17.39%
neutral,0%,13.04%,8.7%,0%,0%,8.7%
disagree,0%,0%,4.35%,4.35%,0%,8.7%
strongly_disagree,0%,4.35%,0%,0%,0%,4.35%
na,4.35%,8.7%,4.35%,4.35%,4.35%,8.7%
responses,23.,23.,23.,23.,23.,23.
