,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,26.67%,33.33%,26.67%,33.33%,33.33%,21.43%
agree,26.67%,40%,13.33%,33.33%,46.67%,28.57%
neutral,26.67%,6.67%,26.67%,20%,20%,28.57%
disagree,6.67%,13.33%,0%,6.67%,0%,14.29%
strongly_disagree,0%,6.67%,6.67%,6.67%,0%,7.14%
na,13.33%,0%,26.67%,0%,0%,0%
responses,15.,15.,15.,15.,15.,14.
