,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,36.21%,24.14%,37.93%,29.57%,31.3%,23.28%
agree,37.93%,26.72%,43.97%,43.48%,35.65%,20.69%
neutral,17.24%,25%,15.52%,18.26%,19.13%,28.45%
disagree,6.03%,16.38%,0.86%,6.96%,9.57%,14.66%
strongly_disagree,2.59%,7.76%,1.72%,1.74%,4.35%,12.93%
na,0%,0%,0%,0%,0%,0%
responses,116.,116.,116.,115.,115.,116.
