,effective_prof,worthwhile_course,help_available,workload,course_organization,course_interest
strongly_agree,7.14%,42%,7.5%,60.78%,60.78%,39.22%
agree,4.76%,28%,5%,39.22%,37.25%,41.18%
neutral,2.38%,20%,2.5%,0%,1.96%,15.69%
disagree,0%,8%,0%,0%,0%,1.96%
strongly_disagree,0%,0%,0%,0%,0%,1.96%
na,85.71%,2%,85%,0%,0%,0%
responses,42.,50.,40.,51.,51.,51.
